id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bulan,jumlah_sampah,satuan,tahun,timbulan_sampah,kapasitas_penanganan_awal,penanganan_estimasi,sisa_sampah,akumulasi,skn_BAU,skn_70,skn_80
1,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,28695.81,TON,2017,28695.81,17217.486,17217.486,11478.324,11478.324,11478.324,8608.743000000002,5739.162
2,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,25235.73,TON,2017,25235.73,15141.437999999998,15141.437999999998,10094.292000000001,21572.616,21572.616,16179.462000000003,10786.307999999997
3,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,27581.19,TON,2017,27581.19,16548.714,16548.714,11032.475999999999,32605.092,32605.092,24453.819000000003,16302.545999999995
4,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,29664.735,TON,2017,29664.735,17798.841,17798.841,11865.894,44470.986000000004,44470.986000000004,33353.2395,22235.492999999995
5,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,34637.092,TON,2017,34637.092,20782.255199999996,20782.255199999996,13854.836800000001,58325.82280000001,58325.82280000001,43744.3671,29162.911399999994
6,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,33537.532,TON,2017,33537.532,20122.5192,20122.5192,13415.0128,71740.8356,71740.8356,53805.62670000001,35870.417799999996
7,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,36864.296,TON,2017,36864.296,22118.5776,22118.5776,14745.718400000002,86486.554,86486.554,64864.91550000001,43243.276999999995
8,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,37320.304,TON,2017,37320.304,22392.182399999998,22392.182399999998,14928.121599999999,101414.6756,101414.6756,76061.00670000001,50707.337799999994
9,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,36420.664,TON,2017,36420.664,21852.3984,21852.3984,14568.265599999999,115982.9412,115982.9412,86987.20590000002,57991.47059999999
10,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,37908.64,TON,2017,37908.64,22745.183999999997,22745.183999999997,15163.456000000002,131146.3972,131146.3972,98359.79790000002,65573.19859999999
11,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,36657.236,TON,2017,36657.236,21994.341599999996,21994.341599999996,14662.894400000001,145809.2916,145809.2916,109356.96870000003,72904.64579999998
12,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,37410.268,TON,2017,37410.268,22446.160799999998,22446.160799999998,14964.107199999999,160773.3988,160773.3988,120580.04910000003,80386.69939999998
13,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,38313.716,TON,2018,38313.716,22988.2296,22988.2296,15325.486400000002,176098.8852,176098.8852,132074.16390000004,88049.44259999998
14,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,35883.26,TON,2018,35883.26,21529.956000000002,21529.956000000002,14353.304,190452.1892,190452.1892,142839.14190000005,95226.09459999998
15,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,38719.268,TON,2018,38719.268,23231.560799999996,23231.560799999996,15487.7072,205939.8964,205939.8964,154454.92230000003,102969.94819999998
16,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,37898.168,TON,2018,37898.168,22738.9008,22738.9008,15159.267199999998,221099.1636,221099.1636,165824.37270000004,110549.58179999999
17,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,39593.204,TON,2018,39593.204,23755.9224,23755.9224,15837.281599999998,236936.4452,236936.4452,177702.33390000003,118468.22259999998
18,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,37230.816,TON,2018,37230.816,22338.489599999997,22338.489599999997,14892.326400000002,251828.77159999998,251828.77159999998,188871.5787,125914.38579999997
19,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,41104.028,TON,2018,41104.028,24662.4168,24662.4168,16441.6112,268270.38279999996,268270.38279999996,201202.78710000002,134135.19139999998
20,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,40345.962,TON,2018,40345.962,24207.5772,24207.5772,16138.3848,284408.76759999996,284408.76759999996,213306.57570000002,142204.38379999998
21,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,37861.02,TON,2018,37861.02,22716.611999999997,22716.611999999997,15144.408,299553.17559999996,299553.17559999996,224664.88170000003,149776.58779999998
22,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,40297.166,TON,2018,40297.166,24178.2996,24178.2996,16118.866399999999,315672.04199999996,315672.04199999996,236754.03150000004,157836.02099999998
23,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,41560.446,TON,2018,41560.446,24936.267600000003,24936.267600000003,16624.1784,332296.22039999993,332296.22039999993,249222.16530000005,166148.1102
24,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,41550.608,TON,2018,41550.608,24930.3648,24930.3648,16620.2432,348916.46359999996,348916.46359999996,261687.34770000004,174458.2318
25,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,41818.504,TON,2019,41818.504,25091.1024,25091.1024,16727.4016,365643.86519999994,365643.86519999994,274232.89890000003,182821.9326
26,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,36800.036,TON,2019,36800.036,22080.0216,22080.0216,14720.0144,380363.8795999999,380363.8795999999,285272.9097,190181.9398
27,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,40453.812,TON,2019,40453.812,24272.2872,24272.2872,16181.5248,396545.40439999994,396545.40439999994,297409.0533,198272.7022
28,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,38104.752,TON,2019,38104.752,22862.8512,22862.8512,15241.9008,411787.30519999994,411787.30519999994,308840.47890000005,205893.6526
29,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,40669.44,TON,2019,40669.44,24401.664,24401.664,16267.776000000002,428055.08119999996,428055.08119999996,321041.31090000004,214027.5406
30,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,38462.228,TON,2019,38462.228,23077.3368,23077.3368,15384.891200000002,443439.97239999997,443439.97239999997,332579.97930000006,221719.9862
31,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,42520.604,TON,2019,42520.604,25512.362399999998,25512.362399999998,17008.2416,460448.214,460448.214,345336.16050000006,230224.10700000002
32,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,41228.58,TON,2019,41228.58,24737.148,24737.148,16491.432,476939.64599999995,476939.64599999995,357704.7345000001,238469.82300000003
33,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,40997.49,TON,2019,40997.49,24598.494,24598.494,16398.996,493338.64199999993,493338.64199999993,370003.9815000001,246669.32100000003
34,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,43576.848,TON,2019,43576.848,26146.108799999998,26146.108799999998,17430.7392,510769.38119999995,510769.38119999995,383077.03590000013,255384.69060000003
35,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,41633.19,TON,2019,41633.19,24979.914,24979.914,16653.276,527422.6571999999,527422.6571999999,395566.9929000001,263711.3286
36,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,42840.952,TON,2019,42840.952,25704.5712,25704.5712,17136.3808,544559.038,544559.038,408419.27850000013,272279.51900000003
37,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,42785.736,TON,2020,42785.736,25671.4416,25671.4416,17114.2944,561673.3324,561673.3324,421254.99930000014,280836.66620000004
38,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,38458.896,TON,2020,38458.896,23075.3376,23075.3376,15383.558400000002,577056.8907999999,577056.8907999999,432792.6681000001,288528.4454
39,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,41679.512,TON,2020,41679.512,25007.7072,25007.7072,16671.8048,593728.6956,593728.6956,445296.52170000016,296864.34780000005
40,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,39297.132,TON,2020,39297.132,23578.279199999997,23578.279199999997,15718.8528,609447.5484,609447.5484,457085.66130000015,304723.77420000004
41,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,38331.328,TON,2020,38331.328,22998.7968,22998.7968,15332.531200000001,624780.0795999999,624780.0795999999,468585.05970000016,312390.0398
42,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,39944.781,TON,2020,39944.781,23966.8686,23966.8686,15977.912400000001,640757.992,640757.992,480568.4940000002,320378.99600000004
43,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,41369.636,TON,2020,41369.636,24821.7816,24821.7816,16547.8544,657305.8463999999,657305.8463999999,492979.3848000002,328652.9232
44,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,41294.428,TON,2020,41294.428,24776.6568,24776.6568,16517.7712,673823.6175999999,673823.6175999999,505367.7132000002,336911.8088
45,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,41191.136,TON,2020,41191.136,24714.6816,24714.6816,16476.4544,690300.0719999999,690300.0719999999,517725.0540000002,345150.036
46,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,41938.39,TON,2020,41938.39,25163.034,25163.034,16775.356,707075.428,707075.428,530306.5710000002,353537.71400000004
47,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,40327.672,TON,2020,40327.672,24196.603199999998,24196.603199999998,16131.068800000001,723206.4968,723206.4968,542404.8726000002,361603.24840000004
48,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,42042.7,TON,2020,42042.7,25225.62,25225.62,16817.079999999998,740023.5767999999,740023.5767999999,555017.6826000003,370011.7884
